gene,ensembl_id,span_kb,whole_cell_CPM,nuclear_CPM,ratio,exonic_kb,intronic_kb,intron_fraction
Nme3,ENSMUSG00000073435,1.138,2.518,0.6546,0.26,0.876,0.262,0.2302
Vmo1,ENSMUSG00000020830,1.14,1.0705,0.209,0.1952,0.672,0.468,0.4105
Tcap,ENSMUSG00000007877,1.142,0.3269,0.4926,1.5068,0.948,0.194,0.1699
mt-Cytb,ENSMUSG00000064370,1.143,5633.1826,620.7766,0.1102,1.144,0.001,0.0009
Hba-a2,ENSMUSG00000069917,1.152,9.1149,16.5274,1.8132,0.667,0.485,0.421
Ucn2,ENSMUSG00000049699,1.154,0.1093,0.1493,1.3657,1.155,0.001,0.0009
Rps27,ENSMUSG00000090733,1.158,891.062,163.7002,0.1837,1.043,0.115,0.0993
Uchl4,ENSMUSG00000035337,1.161,0.2518,3.5719,14.1855,1.162,0.001,0.0009
Tbcc,ENSMUSG00000036430,1.163,32.7635,30.9635,0.9451,1.164,0.001,0.0009
Rnf138rt1,ENSMUSG00000083695,1.19,1.2984,0.2451,0.1888,1.191,0.001,0.0008
Naa38,ENSMUSG00000059278,1.193,245.1829,39.5335,0.1612,0.89,0.303,0.254
Rtl8a,ENSMUSG00000067925,1.194,228.5216,94.0387,0.4115,1.195,0.001,0.0008
Mtln,ENSMUSG00000051319,1.201,138.543,47.3339,0.3417,0.8,0.401,0.3339
Bhlha9,ENSMUSG00000044243,1.206,5.7911,3.4547,0.5966,1.207,0.001,0.0008
Gm715,ENSMUSG00000082226,1.209,0.51,1.159,2.2725,1.21,0.001,0.0008
Gm266,ENSMUSG00000010529,1.214,0.7791,0.2611,0.3351,1.215,0.001,0.0008
H1f10,ENSMUSG00000044927,1.216,76.0699,36.459,0.4793,1.217,0.001,0.0008
Icam4,ENSMUSG00000001014,1.222,1.2411,0.464,0.3739,1.11,0.112,0.0917
Rnf113a1,ENSMUSG00000036537,1.222,3.9774,4.3253,1.0875,1.223,0.001,0.0008
Ccnq,ENSMUSG00000049489,1.223,25.6047,6.8746,0.2685,1.224,0.001,0.0008
Mt1,ENSMUSG00000031765,1.245,365.3993,50.3167,0.1377,1.246,0.001,0.0008
Ier3,ENSMUSG00000003541,1.247,52.2187,21.9286,0.4199,1.131,0.116,0.093
Cited4,ENSMUSG00000070803,1.248,1.7494,0.3531,0.2018,1.249,0.001,0.0008
Cldn3,ENSMUSG00000070473,1.258,2.7012,0.8816,0.3264,1.259,0.001,0.0008
Ppp1r35,ENSMUSG00000029725,1.261,38.9354,16.6673,0.4281,1.085,0.176,0.1396
1700056E22Rik,ENSMUSG00000044854,1.271,1.5167,0.6919,0.4562,1.272,0.001,0.0008
Bloc1s4,ENSMUSG00000060708,1.272,21.5244,10.3563,0.4811,1.273,0.001,0.0008
Alyref2,ENSMUSG00000060244,1.278,4.2392,2.3854,0.5627,1.279,0.001,0.0008
Znhit2,ENSMUSG00000075227,1.28,82.3362,21.4634,0.2607,1.281,0.001,0.0008
Gm10775,ENSMUSG00000074847,1.287,0.2833,0.2993,1.0565,1.203,0.084,0.0653
Mien1,ENSMUSG00000002580,1.3,310.0257,55.7181,0.1797,0.747,0.553,0.4254
Cox6b2,ENSMUSG00000051811,1.304,3.4788,1.6205,0.4658,1.108,0.196,0.1503
Eid3,ENSMUSG00000109864,1.304,0.4181,0.1665,0.3982,1.305,0.001,0.0008
Mblac1,ENSMUSG00000049285,1.307,3.2868,2.3934,0.7282,1.308,0.001,0.0008
Foxs1,ENSMUSG00000074676,1.31,0.2707,1.2003,4.4346,1.311,0.001,0.0008
Rplp1,ENSMUSG00000007892,1.315,1483.2651,430.3405,0.2901,0.499,0.816,0.6205
Hba-a1,ENSMUSG00000069919,1.318,7.6694,18.7453,2.4442,0.812,0.506,0.3839
Rnf208,ENSMUSG00000044628,1.333,98.2941,38.4477,0.3912,1.334,0.001,0.0008
Rps4l,ENSMUSG00000063171,1.333,40.7391,48.6495,1.1942,1.334,0.001,0.0008
Tssk6,ENSMUSG00000047654,1.334,0.4573,0.2525,0.5522,1.335,0.001,0.0007
Rbm8a2,ENSMUSG00000078184,1.337,0.5112,1.1023,2.1562,1.338,0.001,0.0007
Tusc1,ENSMUSG00000054000,1.373,19.0319,5.3428,0.2807,1.374,0.001,0.0007
mt-Nd4,ENSMUSG00000064363,1.377,2296.1076,633.1153,0.2757,1.378,0.001,0.0007
Rnf113a2,ENSMUSG00000098134,1.382,7.3098,4.7937,0.6558,1.383,0.001,0.0007
H2ax,ENSMUSG00000049932,1.383,16.9408,8.2216,0.4853,1.384,0.001,0.0007
Mt2,ENSMUSG00000031762,1.388,50.3639,13.1829,0.2618,0.588,0.8,0.5764
Gpha2,ENSMUSG00000024784,1.389,25.4387,2.4006,0.0944,0.77,0.619,0.4456
Gm13889,ENSMUSG00000087006,1.391,280.7378,82.1058,0.2925,1.392,0.001,0.0007
Sh3bgrl3,ENSMUSG00000028843,1.391,1950.1952,424.3108,0.2176,0.821,0.57,0.4098
Eid2,ENSMUSG00000046058,1.391,44.5174,14.7629,0.3316,1.392,0.001,0.0007
Pou5f2,ENSMUSG00000093668,1.393,2.5465,5.1574,2.0253,1.394,0.001,0.0007
Brcc3dc,ENSMUSG00000112039,1.396,1.1469,8.6845,7.5725,1.397,0.001,0.0007
Tmsb10,ENSMUSG00000079523,1.407,10033.6318,814.2818,0.0812,1.276,0.131,0.0931
Ssna1,ENSMUSG00000026966,1.408,106.8023,26.1786,0.2451,1.276,0.132,0.0937
Cldn5,ENSMUSG00000041378,1.415,4.0309,2.858,0.709,1.416,0.001,0.0007
Chchd1,ENSMUSG00000063787,1.419,165.1221,33.1046,0.2005,0.909,0.51,0.3594
Isg15,ENSMUSG00000035692,1.42,14.665,5.4446,0.3713,0.703,0.717,0.5049
Rpp25,ENSMUSG00000062309,1.422,2.7493,0.8011,0.2914,1.423,0.001,0.0007
B3gnt4,ENSMUSG00000029431,1.422,1.7034,0.2127,0.1249,1.423,0.001,0.0007
Chrm4,ENSMUSG00000040495,1.439,21.7005,0.5529,0.0255,1.44,0.001,0.0007
Cldn9,ENSMUSG00000066720,1.442,6.5127,2.3079,0.3544,1.443,0.001,0.0007
Ldhal6b,ENSMUSG00000101959,1.444,0.1754,0.2705,1.5417,1.445,0.001,0.0007
Gpx1,ENSMUSG00000063856,1.444,370.9096,79.2126,0.2136,1.441,0.003,0.0021
Mos,ENSMUSG00000078365,1.448,0.1159,1.0122,8.7359,1.449,0.001,0.0007
Hrct1,ENSMUSG00000071001,1.451,0.3508,0.3202,0.9127,1.452,0.001,0.0007
Hes5,ENSMUSG00000048001,1.455,6.2779,1.8734,0.2984,1.363,0.092,0.0632
Rprm,ENSMUSG00000075334,1.459,156.8396,38.1695,0.2434,1.46,0.001,0.0007
Nt5c,ENSMUSG00000020736,1.459,75.6616,47.2628,0.6247,1.14,0.319,0.2186
Nkapl,ENSMUSG00000059395,1.462,1.5305,2.4979,1.6321,1.463,0.001,0.0007
Rps29,ENSMUSG00000034892,1.465,1574.1129,448.9105,0.2852,0.693,0.772,0.527
Ly6g5b,ENSMUSG00000043807,1.48,0.1459,0.1701,1.1657,1.176,0.304,0.2054
Hspb2,ENSMUSG00000038086,1.48,2.2028,0.6438,0.2923,0.834,0.646,0.4365
Tstd1,ENSMUSG00000103711,1.482,17.84,5.286,0.2963,0.867,0.615,0.415
Tmem256,ENSMUSG00000070394,1.488,376.8544,64.2664,0.1705,1.105,0.383,0.2574
Ifitm2,ENSMUSG00000060591,1.49,37.695,15.1145,0.401,0.655,0.835,0.5604
Polr2i,ENSMUSG00000019738,1.491,75.1473,23.9528,0.3187,1.212,0.279,0.1871
Dusp28,ENSMUSG00000047067,1.492,33.4622,7.8406,0.2343,1.314,0.178,0.1193
Nop10,ENSMUSG00000027133,1.493,642.5422,91.0992,0.1418,1.109,0.384,0.2572
Fbll1,ENSMUSG00000051062,1.502,14.1943,8.4923,0.5983,1.503,0.001,0.0007
Cebpb,ENSMUSG00000056501,1.503,49.8167,14.2843,0.2867,1.504,0.001,0.0007
C2cd4b,ENSMUSG00000091956,1.506,4.1205,0.5695,0.1382,1.327,0.179,0.1189
H2bc27,ENSMUSG00000056895,1.513,72.8086,26.9242,0.3698,0.614,0.899,0.5942
Nrn1l,ENSMUSG00000044287,1.515,22.5643,6.369,0.2823,0.617,0.898,0.5927
Ier2,ENSMUSG00000053560,1.523,58.3952,5.2787,0.0904,1.524,0.001,0.0007
Oxld1,ENSMUSG00000039670,1.531,16.1687,12.3557,0.7642,0.813,0.718,0.469
Pigyl,ENSMUSG00000010607,1.531,98.7416,16.0373,0.1624,0.777,0.754,0.4925
Arxes2,ENSMUSG00000048040,1.531,55.585,20.3656,0.3664,1.532,0.001,0.0007
Kcne5,ENSMUSG00000090122,1.542,0.2887,0.14,0.4848,1.543,0.001,0.0006
Krtcap3,ENSMUSG00000029149,1.542,1.6344,1.24,0.7587,1.338,0.204,0.1323
mt-Co1,ENSMUSG00000064351,1.544,2213.525,215.3661,0.0973,1.545,0.001,0.0006
H1f2,ENSMUSG00000036181,1.559,115.6709,25.5335,0.2207,1.56,0.001,0.0006
Nanos2,ENSMUSG00000051965,1.562,0.3291,0.526,1.5983,1.563,0.001,0.0006
6330403K07Rik,ENSMUSG00000018451,1.572,438.0176,105.0626,0.2399,1.573,0.001,0.0006
Gm10643,ENSMUSG00000074215,1.576,1.948,1.3882,0.7126,1.577,0.001,0.0006
Arxes1,ENSMUSG00000048355,1.579,20.5998,8.7836,0.4264,1.58,0.001,0.0006
Znrd2,ENSMUSG00000079478,1.583,2.4097,0.5169,0.2145,1.236,0.347,0.2192
Zfp830,ENSMUSG00000046010,1.59,5.8469,10.5176,1.7988,1.591,0.001,0.0006
Uqcc3,ENSMUSG00000071654,1.591,133.1497,22.0279,0.1654,0.821,0.77,0.484
Wdr83os,ENSMUSG00000059355,1.599,207.5854,60.509,0.2915,1.031,0.568,0.3552
Inafm1,ENSMUSG00000091811,1.604,75.5198,28.0885,0.3719,1.605,0.001,0.0006
Sfn,ENSMUSG00000047281,1.612,3.0324,4.2451,1.3999,1.613,0.001,0.0006
Fam89b,ENSMUSG00000024939,1.613,1.8868,0.185,0.098,1.209,0.404,0.2505
Rraga,ENSMUSG00000070934,1.617,90.358,48.9017,0.5412,1.618,0.001,0.0006
Ctxn1,ENSMUSG00000048644,1.623,274.2475,37.39,0.1363,1.212,0.411,0.2532
Atoh7,ENSMUSG00000036816,1.628,0.5854,1.6822,2.8736,1.629,0.001,0.0006
Kti12,ENSMUSG00000073775,1.628,8.5875,2.2831,0.2659,1.629,0.001,0.0006
Utp3,ENSMUSG00000070697,1.628,22.0099,25.4132,1.1546,1.629,0.001,0.0006
H4c14,ENSMUSG00000091405,1.629,1.3504,2.6607,1.9703,1.63,0.001,0.0006
Dbil5,ENSMUSG00000038057,1.631,0.6342,1.0099,1.5925,0.581,1.05,0.6438
Hspb1,ENSMUSG00000004951,1.657,223.8098,184.6582,0.8251,1.031,0.626,0.3778
Rep15,ENSMUSG00000040121,1.661,2.6745,1.6117,0.6026,1.662,0.001,0.0006
Jund,ENSMUSG00000071076,1.666,611.4163,164.8017,0.2695,1.667,0.001,0.0006
AA414768,ENSMUSG00000083307,1.671,2.4355,0.7569,0.3108,1.257,0.414,0.2478
H2bc9,ENSMUSG00000114456,1.678,0.1273,0.1727,1.357,1.679,0.001,0.0006
Fau,ENSMUSG00000038274,1.68,2225.7886,344.1857,0.1546,0.961,0.719,0.428
Neurog1,ENSMUSG00000048904,1.685,0.1028,0.1205,1.1725,1.686,0.001,0.0006
Sap25,ENSMUSG00000079165,1.688,0.1741,0.3055,1.7544,1.569,0.119,0.0705
Eid1,ENSMUSG00000091337,1.69,230.4433,119.7829,0.5198,1.691,0.001,0.0006
Fancf,ENSMUSG00000092118,1.69,5.0288,1.2307,0.2447,1.691,0.001,0.0006
Nog,ENSMUSG00000048616,1.694,31.5483,8.6087,0.2729,1.695,0.001,0.0006
Fcor,ENSMUSG00000089665,1.698,10.4121,5.924,0.569,0.392,1.306,0.7691
Rps15,ENSMUSG00000063457,1.706,557.6487,167.9206,0.3011,0.63,1.076,0.6307
Selenoh,ENSMUSG00000076437,1.709,118.7337,18.9019,0.1592,1.131,0.578,0.3382
Tmem158,ENSMUSG00000054871,1.711,155.3033,77.3797,0.4982,1.712,0.001,0.0006
Arf6,ENSMUSG00000044147,1.731,60.0813,14.5847,0.2428,1.534,0.197,0.1138
Mmp24os1,ENSMUSG00000074649,1.732,92.9202,18.0118,0.1938,1.615,0.117,0.0676
Tmem88,ENSMUSG00000045377,1.735,1.0589,0.7721,0.7292,1.582,0.153,0.0882
Nudt8,ENSMUSG00000110949,1.746,0.9737,0.3797,0.3899,1.135,0.611,0.3499
Rnasek,ENSMUSG00000093989,1.747,9.1199,4.5942,0.5038,0.885,0.862,0.4934
Rasd1,ENSMUSG00000049892,1.77,8.2303,3.6259,0.4406,1.611,0.159,0.0898
Smim26,ENSMUSG00000074754,1.771,96.4141,19.7933,0.2053,0.471,1.3,0.734
Gpr151,ENSMUSG00000042816,1.771,3.1264,0.1525,0.0488,1.772,0.001,0.0006
Romo1,ENSMUSG00000067847,1.773,533.7033,167.7046,0.3142,0.747,1.026,0.5787
Map1lc3a,ENSMUSG00000027602,1.781,1821.918,454.7866,0.2496,1.181,0.6,0.3369
Ifitm3,ENSMUSG00000025492,1.783,41.8746,15.0493,0.3594,0.678,1.105,0.6197
Gadd45g,ENSMUSG00000021453,1.794,152.4895,13.7573,0.0902,1.173,0.621,0.3462
Ndufaf8,ENSMUSG00000078572,1.795,139.6607,23.8299,0.1706,0.834,0.961,0.5354
Nppb,ENSMUSG00000029019,1.803,2.3898,1.8367,0.7686,0.781,1.022,0.5668
Tcim,ENSMUSG00000056313,1.804,2.7162,2.1749,0.8007,1.805,0.001,0.0006
Phpt1,ENSMUSG00000036504,1.805,39.453,4.5239,0.1147,1.074,0.731,0.405
Cebpe,ENSMUSG00000052435,1.814,0.5083,0.5418,1.0658,1.241,0.573,0.3159
Fam209,ENSMUSG00000027505,1.815,0.278,0.3529,1.2693,0.698,1.117,0.6154
Thap11,ENSMUSG00000036442,1.818,16.835,7.0776,0.4204,1.819,0.001,0.0006
mt-Nd5,ENSMUSG00000064367,1.823,539.5072,213.9656,0.3966,1.824,0.001,0.0005
Isca2,ENSMUSG00000021241,1.837,121.4009,33.0049,0.2719,1.838,0.001,0.0005
Atp5me,ENSMUSG00000050856,1.839,674.8579,425.2157,0.6301,0.616,1.223,0.665
Nap1l5,ENSMUSG00000055430,1.843,456.8452,167.4741,0.3666,1.844,0.001,0.0005
Trappc1,ENSMUSG00000049299,1.843,116.7539,43.6308,0.3737,1.112,0.731,0.3966
Tmem217rt,ENSMUSG00000105867,1.849,22.5707,6.7143,0.2975,1.85,0.001,0.0005
Npm3,ENSMUSG00000056209,1.857,7.7753,4.5177,0.581,1.187,0.67,0.3608
Ctrl,ENSMUSG00000031896,1.861,0.4848,0.2432,0.5017,1.156,0.705,0.3788
Borcs6,ENSMUSG00000045176,1.861,80.9404,25.9319,0.3204,1.862,0.001,0.0005
Ackr1,ENSMUSG00000037872,1.864,132.6828,70.2222,0.5292,1.405,0.459,0.2462
Hcrt,ENSMUSG00000045471,1.867,0.459,6.8929,15.0174,0.749,1.118,0.5988
Mt3,ENSMUSG00000031760,1.868,2107.2818,470.2378,0.2231,1.066,0.802,0.4293
Ffar3,ENSMUSG00000019429,1.87,1.1442,0.3472,0.3034,1.849,0.021,0.0112
Ccl2,ENSMUSG00000035385,1.882,8.8888,1.3236,0.1489,1.138,0.744,0.3953
Fam246a,ENSMUSG00000116652,1.887,1.4084,0.4172,0.2962,1.888,0.001,0.0005
Brd3os,ENSMUSG00000109946,1.897,14.9472,5.5612,0.3721,1.898,0.001,0.0005
Inka1,ENSMUSG00000042106,1.899,3.3026,1.3974,0.4231,1.156,0.743,0.3913
Kcna3,ENSMUSG00000047959,1.901,0.2109,0.6258,2.9675,1.902,0.001,0.0005
Lbx2,ENSMUSG00000034968,1.902,0.2911,1.2878,4.4233,0.934,0.968,0.5089
Aurkaip1,ENSMUSG00000065990,1.907,212.0719,54.9199,0.259,1.766,0.141,0.0739
Ndufaf3,ENSMUSG00000070283,1.913,74.588,25.8553,0.3466,1.815,0.098,0.0512
Ltb,ENSMUSG00000024399,1.914,1.6798,0.3324,0.1979,1.516,0.398,0.2079
H3c4,ENSMUSG00000099583,1.918,0.9364,0.4715,0.5035,1.249,0.669,0.3488
Nicol1,ENSMUSG00000070858,1.922,702.1894,128.5924,0.1831,0.669,1.253,0.6519
AK157302,ENSMUSG00000078139,1.923,1.7696,0.609,0.3441,1.924,0.001,0.0005
AI429214,ENSMUSG00000074384,1.929,0.6016,0.8843,1.4699,1.93,0.001,0.0005
H1f4,ENSMUSG00000051627,1.929,4.4453,5.2456,1.18,1.93,0.001,0.0005
Cox7a1,ENSMUSG00000074218,1.934,55.7008,16.5901,0.2978,0.535,1.399,0.7234
Ftl1,ENSMUSG00000050708,1.941,2361.2143,331.1631,0.1403,1.34,0.601,0.3096
B3galt4,ENSMUSG00000067370,1.942,2.7414,2.5149,0.9174,1.58,0.362,0.1864
Gpsm3,ENSMUSG00000034786,1.954,24.0045,3.9539,0.1647,1.343,0.611,0.3127
Prr22,ENSMUSG00000090273,1.958,1.635,2.3757,1.453,1.959,0.001,0.0005
Rom1,ENSMUSG00000071648,1.965,19.9515,6.7373,0.3377,1.517,0.448,0.228
Tssc4,ENSMUSG00000045752,1.965,25.5404,22.0621,0.8638,1.845,0.12,0.0611
Gm50092,ENSMUSG00000117477,1.972,0.6542,1.2065,1.8443,1.973,0.001,0.0005
Mocs3,ENSMUSG00000074576,1.972,6.0779,2.0761,0.3416,1.973,0.001,0.0005
2010003K11Rik,ENSMUSG00000042041,1.975,0.6888,0.4261,0.6186,1.167,0.808,0.4091
1810037I17Rik,ENSMUSG00000054091,1.981,332.6326,53.8104,0.1618,1.16,0.821,0.4144
Rpl22l1,ENSMUSG00000039221,1.988,753.1984,78.1721,0.1038,1.989,0.001,0.0005
Cby3,ENSMUSG00000050087,1.992,0.767,2.0832,2.7161,0.703,1.289,0.6471
Fam181b,ENSMUSG00000051515,2.001,8.9472,8.0791,0.903,2.002,0.001,0.0005
Spsb2,ENSMUSG00000038451,2.025,12.1143,9.4661,0.7814,1.658,0.367,0.1812
Spin2c,ENSMUSG00000046550,2.027,1.668,2.3635,1.417,1.377,0.65,0.3207
1810009A15Rik,ENSMUSG00000071653,2.028,2.2784,2.052,0.9006,1.444,0.584,0.288
Cd68,ENSMUSG00000018774,2.03,0.5206,0.5962,1.1452,1.257,0.773,0.3808
Ppdpf,ENSMUSG00000016344,2.038,231.9953,45.0407,0.1941,1.336,0.702,0.3445
Hsd17b8,ENSMUSG00000073422,2.043,9.6274,5.5083,0.5721,1.643,0.4,0.1958
Rrs1,ENSMUSG00000061024,2.047,21.123,5.5346,0.262,2.048,0.001,0.0005
Tnfrsf12a,ENSMUSG00000023905,2.052,10.4797,1.1305,0.1079,1.932,0.12,0.0585
H1f0,ENSMUSG00000096210,2.054,61.221,25.904,0.4231,2.055,0.001,0.0005
Naxe,ENSMUSG00000028070,2.054,67.9542,25.9446,0.3818,0.908,1.146,0.5579
Sox2,ENSMUSG00000074637,2.056,13.0685,5.4864,0.4198,2.057,0.001,0.0005
Sapcd1,ENSMUSG00000036185,2.059,1.9178,28.6797,14.9545,1.028,1.031,0.5007
S100a14,ENSMUSG00000042306,2.062,0.1897,0.1341,0.7071,1.727,0.335,0.1625
Sox3,ENSMUSG00000045179,2.064,2.2458,0.9562,0.4258,2.065,0.001,0.0005
U2af1l4,ENSMUSG00000078765,2.066,1.5255,0.5545,0.3635,1.656,0.41,0.1985
Hoxa4,ENSMUSG00000000942,2.082,3.5566,2.9523,0.8301,1.594,0.488,0.2344
Gp1bb,ENSMUSG00000050761,2.086,2.5878,0.8608,0.3326,2.087,0.001,0.0005
