gse,group,verdict,reason,unit,n_samples,n_columns,Oprl1,Oprm1,Oprd1,Oprk1,top_receptor,runner_up,margin,Snap25,Tubb3,Plp1,Sox10,Ptprc,Snap25_over_Plp1,Atf3,Fos,Jun,title,file
GSE309530,count.Frac_F,hold,"counts, so an ordering would compare transcript lengths",counts,18,3.0,27.592,1.608,10.49,2.753,Oprl1,Oprd1,2.63,1133.043,2697.683,554.422,117.141,5.759,2.0436,36.641,4.284,117.477,RNA-seq profiling in dorsal root ganglian (DRG) after fracture surgery and Protectin DX treatment,GSE309530_Raw_processing.txt.gz
GSE309530,count.Frac_M,hold,"counts, so an ordering would compare transcript lengths",counts,18,3.0,30.383,2.227,13.209,3.584,Oprl1,Oprd1,2.3,1155.125,2794.326,530.096,118.62,5.363,2.1791,44.0,5.335,121.833,RNA-seq profiling in dorsal root ganglian (DRG) after fracture surgery and Protectin DX treatment,GSE309530_Raw_processing.txt.gz
GSE309530,count.Frac_PDX_F,hold,"counts, so an ordering would compare transcript lengths",counts,18,3.0,24.784,1.721,10.149,2.393,Oprl1,Oprd1,2.442,1107.619,2836.063,532.513,115.154,6.837,2.08,80.924,5.18,136.296,RNA-seq profiling in dorsal root ganglian (DRG) after fracture surgery and Protectin DX treatment,GSE309530_Raw_processing.txt.gz
GSE309530,count.Frac_PDX_M,hold,"counts, so an ordering would compare transcript lengths",counts,18,3.0,28.967,2.053,10.558,2.682,Oprl1,Oprd1,2.744,1138.531,2803.977,528.789,116.65,8.451,2.1531,43.543,4.264,127.073,RNA-seq profiling in dorsal root ganglian (DRG) after fracture surgery and Protectin DX treatment,GSE309530_Raw_processing.txt.gz
GSE309119,,no matrix,no flat matrix; per-sample RAW archive only,,16,,,,,,,,,,,,,,,,,,Leukocyte-intrinsic ER stress responses contribute to chemotherapy-induced peripheral neuropathy.,
GSE308876,all,hold,"counts, so an ordering would compare transcript lengths",counts,24,73.0,8.546,4.981,5.914,1.591,Oprl1,Oprd1,1.445,545.603,1297.418,266.014,40.11,26.848,2.051,18.629,21.958,71.778,Dorsal Root Ganglion-Mediated Modulation of Neuroinflammation and Neurovasodilation in Rosacea by Gabapentin,GSE308876_Expression_Profile.mm10.gene.txt.gz
GSE299758,,no matrix,no flat matrix; per-sample RAW archive only,,9,,,,,,,,,,,,,,,,,,hPSC-derived sacral neural crest cells restore erectile function in pelvic ganglia injury,
GSE292315,all,hold,"counts, so an ordering would compare transcript lengths",counts,12,12.0,17.97,5.826,13.339,4.373,Oprl1,Oprd1,1.347,985.943,1452.557,958.831,309.349,16.412,1.0283,33.759,11.796,134.196,Effect of Fak1/Ptk2 knockout in a mouse model of NF2-related schwannomatosis,GSE292315_raw_counts.csv.gz
GSE289387,X,hold,"Snap25 0.035 below 100 CPM; Snap25/Plp1 0.006 below 0.05; counts, so an ordering would compare transcript lengths",counts,24,24.0,0.048,0.0,0.03,0.005,Oprl1,Oprd1,1.6,0.035,3.683,5.937,45.072,0.004,0.0059,10.424,1.421,85.755,Transcriptome response to FAK1 (PTK2) targeting in a murine Nf2 null schwannoma cell line model,GSE289387_raw_counts.csv.gz
GSE294757,,no matrix,no flat matrix; per-sample RAW archive only,,8,,,,,,,,,,,,,,,,,,Gut microbiota dysbiosis affects intestinal sensitivity through epithelium-to-neuron signaling: novel insights from colon organoid-based model to improve visceral pain therapy,
GSE196234,transcript_count,hold,"Snap25 23.945 below 100 CPM; counts, so an ordering would compare transcript lengths",counts,10,1.0,87.797,247.428,7.982,39.908,Oprm1,Oprl1,2.818,23.945,15.963,31.926,31.926,103.76,0.75,23.945,31.926,7.982,Sensory neuron gene expression changes in response to type 2 skin inflammation after recovery,GSE196234_all.gene_counts.tsv.gz
GSE196234,sample.av,hold,"counts, so an ordering would compare transcript lengths",counts,10,10.0,22.956,50.507,12.347,3.803,Oprm1,Oprl1,2.2,939.323,1806.433,770.92,251.782,8.343,1.2184,11.651,6.555,159.408,Sensory neuron gene expression changes in response to type 2 skin inflammation after recovery,GSE196234_all.gene_counts.tsv.gz
GSE189542,transcript_count,hold,"Snap25 21.38 below 100 CPM; counts, so an ordering would compare transcript lengths",counts,12,1.0,85.521,220.928,7.127,42.76,Oprm1,Oprl1,2.583,21.38,14.253,28.507,28.507,92.647,0.75,21.38,28.507,7.127,Sensory neuron gene expression changes in response to type 2 skin inflammation,GSE189542_all.gene_counts.tsv.gz
GSE189542,sample.av,hold,"counts, so an ordering would compare transcript lengths",counts,12,12.0,23.213,48.508,12.596,3.533,Oprm1,Oprl1,2.09,782.01,1669.392,830.677,238.524,9.743,0.9414,5.365,5.815,163.383,Sensory neuron gene expression changes in response to type 2 skin inflammation,GSE189542_all.gene_counts.tsv.gz
GSE301323,,unusable layout,"no gene column, or fewer than 3 sample columns",,12,,,,,,,,,,,,,,,,,,CSDE1-RIP and bulk RNA sequencing using primary DRG neurons infected with LV-control or LV-e5'UTR.,GSE301323_5.tsv.gz
GSE301322,wt_Csde1_ip_control,hold,"counts, so an ordering would compare transcript lengths",counts,12,3.0,3.202,1.067,,1.601,Oprl1,Oprk1,2.0,383.44,269.773,109.94,16.81,0.8,3.4877,2.936,2.402,29.087,DRG tissue CSDE1-RIP and bulk RNA sequencing using sciatic nerve injured and uninjured AAV-Control or AAV-shGpr151 injected mice.,GSE301322_4.tsv.gz
GSE301322,wt_Csde1_ip_shGpr,hold,"counts, so an ordering would compare transcript lengths",counts,12,3.0,0.679,0.679,,0.453,Oprl1,Oprm1,1.0,251.318,263.079,91.388,17.192,0.905,2.75,38.229,2.262,70.124,DRG tissue CSDE1-RIP and bulk RNA sequencing using sciatic nerve injured and uninjured AAV-Control or AAV-shGpr151 injected mice.,GSE301322_4.tsv.gz
GSE301322,wt_Csde1_input_control,hold,"Snap25 16.065 below 100 CPM; counts, so an ordering would compare transcript lengths",counts,12,3.0,0.0,1.26,,0.0,Oprm1,Oprl1,inf,16.065,245.398,93.551,36.854,6.93,0.1717,6.93,21.421,42.526,DRG tissue CSDE1-RIP and bulk RNA sequencing using sciatic nerve injured and uninjured AAV-Control or AAV-shGpr151 injected mice.,GSE301322_4.tsv.gz
GSE301322,wt_Csde1_input_shGpr,hold,"Snap25 9.908 below 100 CPM; counts, so an ordering would compare transcript lengths",counts,12,3.0,1.208,0.966,,1.45,Oprk1,Oprl1,1.2,9.908,305.677,103.18,30.447,3.141,0.096,24.164,13.532,43.979,DRG tissue CSDE1-RIP and bulk RNA sequencing using sciatic nerve injured and uninjured AAV-Control or AAV-shGpr151 injected mice.,GSE301322_4.tsv.gz
GSE301321,wt_Csde1_ip_du,hold,"counts, so an ordering would compare transcript lengths",counts,12,3.0,6.059,1.01,0.674,2.02,Oprl1,Oprk1,3.0,1056.983,1281.49,140.365,30.294,0.337,7.5302,5.05,3.366,107.045,DRG tissue CSDE1-IP sequencing using sciatic nerve injured and uninjured mice.,GSE301321_3.tsv.gz
GSE301321,wt_Csde1_ip_dx,hold,"counts, so an ordering would compare transcript lengths",counts,12,3.0,5.68,0.609,0.609,1.217,Oprl1,Oprk1,4.667,528.043,1343.536,238.968,33.472,3.043,2.2097,282.583,7.303,267.571,DRG tissue CSDE1-IP sequencing using sciatic nerve injured and uninjured mice.,GSE301321_3.tsv.gz
GSE301321,wt_Csde1_input_du,hold,"counts, so an ordering would compare transcript lengths",counts,12,3.0,39.925,48.408,28.062,2.799,Oprm1,Oprl1,1.212,935.674,3325.863,352.762,77.835,4.412,2.6524,8.734,2.713,79.862,DRG tissue CSDE1-IP sequencing using sciatic nerve injured and uninjured mice.,GSE301321_3.tsv.gz
GSE301321,wt_Csde1_input_dx,hold,"counts, so an ordering would compare transcript lengths",counts,12,3.0,18.109,27.836,8.837,1.03,Oprm1,Oprl1,1.537,651.846,4612.972,463.061,93.793,12.734,1.4077,666.667,7.156,260.944,DRG tissue CSDE1-IP sequencing using sciatic nerve injured and uninjured mice.,GSE301321_3.tsv.gz
GSE263602,,no matrix,no flat matrix; per-sample RAW archive only,,14,,,,,,,,,,,,,,,,,,The p75 neurotrophin receptor regulates the skeletal stem cell niche through sensory innervation,
GSE290795,,no matrix,no flat matrix; per-sample RAW archive only,,8,,,,,,,,,,,,,,,,,,Intestinal region-specific functions of AHR in intrinsic enteric neurons during infections,
GSE224284,al,read,,length-normalised,6,3.0,15.357,0.073,9.648,0.018,Oprl1,Oprd1,1.592,1610.203,2745.834,94.845,2.534,0.182,16.9772,9.955,4.001,64.119,Leptin signalling promotes axonal regeneration in the peripheral and central nervous system [IFvAL RNA-seq],GSE224284_IFvALtpmAnnotated.csv.gz
GSE224284,if,read,,length-normalised,6,3.0,17.136,0.0,10.852,0.011,Oprl1,Oprd1,1.579,1776.754,2845.595,96.904,3.03,0.14,18.3352,6.855,3.598,70.278,Leptin signalling promotes axonal regeneration in the peripheral and central nervous system [IFvAL RNA-seq],GSE224284_IFvALtpmAnnotated.csv.gz
GSE224220,gfp,read,,length-normalised,6,3.0,15.4,0.0,10.23,0.0,Oprl1,Oprd1,1.505,1987.729,3469.367,110.472,0.739,0.032,17.9931,34.717,129.064,204.77,Leptin signalling promotes axonal regeneration in the peripheral and central nervous system [LepvGFP RNA-seq],GSE224220_LepvGFPtpmAnnotated.csv.gz
GSE224220,leptin,read,,length-normalised,6,3.0,15.319,0.0,11.805,0.076,Oprl1,Oprd1,1.298,1920.882,3227.449,100.548,2.03,0.059,19.1041,44.225,327.895,239.339,Leptin signalling promotes axonal regeneration in the peripheral and central nervous system [LepvGFP RNA-seq],GSE224220_LepvGFPtpmAnnotated.csv.gz
GSE293900,,unusable layout,"no gene column, or fewer than 3 sample columns",,20,,,,,,,,,,,,,,,,,,Upregulated Natriuretic Peptide B expression as a hallmark of chronic itch,GSE293900_ADAM17_TPM.csv.gz
GSE276367,,no matrix,no flat matrix; per-sample RAW archive only,,10,,,,,,,,,,,,,,,,,,RNA-seq of dorsal root ganglion from IMQ-induced psoriasiform dermatitis mice.,
GSE287526,FPKM.PN,read,,length-normalised,12,3.0,21.622,7.324,13.394,1.724,Oprl1,Oprd1,1.614,690.345,4405.286,200.938,49.944,1.033,3.4356,18.947,4.589,82.254,"DRG bulk RNAseq: Repeated Injections Of Intra-articular Nerve Growth Factor Into The Naive Murine Knee Joint Cause Synovial Inflammation, Knee Sensitization, And Neuronal Sprouting",GSE287526_4_genes_fpkm_expression.txt.gz
GSE287526,FPKM.PV,read,,length-normalised,12,3.0,23.665,4.61,11.707,1.454,Oprl1,Oprd1,2.021,648.909,4378.306,181.525,45.487,1.034,3.5748,21.068,4.05,80.328,"DRG bulk RNAseq: Repeated Injections Of Intra-articular Nerve Growth Factor Into The Naive Murine Knee Joint Cause Synovial Inflammation, Knee Sensitization, And Neuronal Sprouting",GSE287526_4_genes_fpkm_expression.txt.gz
