gene,log2_neuron_over_glia
Mlph,-1.385
Prlh,0.0
Rab17,-0.02
Gm28199,0.0
Lrrfip1,-0.01
Rbm44,-0.72
Ramp1,0.406
Ube2f,-0.209
Scly,-0.665
Gm17090,0.0
Espnl,0.616
Klhl30,-0.84
Erfe,-0.678
Ilkap,-0.227
1700020N18Rik,0.0
Hes6,0.749
Per2,-0.592
Gm28382,0.0
Traf3ip1,0.002
Asb1,1.275
Gm28380,0.0
Gm29100,-0.366
Twist2,-3.255
Gm29101,-1.891
Hdac4,-0.752
Gm29099,0.0
Ndufa10,0.558
Olfr1416,0.0
Olfr1415,0.0
Olfr1414,0.0
Olfr1413,0.0
1700054K02Rik,0.0
Olfr1412,0.0
Olfr1411,0.0
Olfr1410,0.0
Olfr12,0.0
Cops9,0.138
Otos,-1.814
Gm29483,0.0
Gm29482,0.0
Gm29481,0.0
Gpc1,0.032
Gm29480,0.869
Ankmy1,-0.222
Dusp28,1.097
5033417F24Rik,0.936
Rnpepl1,-1.215
9430060I03Rik,0.008
Capn10,0.816
Gpr35,-0.668
Aqp12,0.0
Kif1a,1.194
Gm28086,0.392
Agxt,0.0
Mab21l4,0.0
Crocc2,-0.226
Sned1,-3.545
Mterf4,0.251
Gm28535,0.269
Pask,-0.733
Ppp1r7,0.447
Ano7,1.07
Hdlbp,-0.265
Sept2,-1.639
Farp2,-1.438
Stk25,0.332
Gm28536,0.289
Bok,0.534
Thap4,-0.045
Gm10550,-0.058
Atg4b,0.466
Dtymk,-0.404
Ing5,-0.819
D2hgdh,-0.095
Gal3st2,-0.598
Gal3st2b,0.0
Gal3st2c,0.0
Neu4,0.0
Pdcd1,-0.86
4930440C22Rik,0.0
Fam174a,0.631
St8sia4,1.191
4930598F16Rik,0.0
1700063A18Rik,0.0
Gm29601,0.0
4930533P14Rik,0.0
Slco4c1,0.344
Panct2,0.759
Gm28901,-0.01
Slco6c1,0.204
D1Ertd622e,0.121
Ppip5k2,0.069
Gin1,-0.383
Pam,0.156
B230216N24Rik,1.466
1810006J02Rik,-1.182
Gm29461,1.366
Slco6d1,0.0
Gm7967,-0.257
Cntnap5b,0.485
Gm20268,0.0
Gm28187,-0.124
Cdh20,-1.995
Gm15699,0.0
Gm29012,0.0
Rnf152,0.439
Gm17634,0.94
Gm28403,0.282
Pign,-1.018
Gm28404,-0.446
Relch,0.793
Tnfrsf11a,-0.792
Gm7160,0.326
Zcchc2,-0.044
Gm20753,0.0
Phlpp1,-1.156
A530053M12Rik,-0.082
Bcl2,-0.281
D630008O14Rik,-0.621
Kdsr,0.092
Vps4b,0.227
Serpinb5,-0.44
